11:38:17.799 > Dispositivo iniciado, puedes conectarlo a Bluetooth
11:38:18.230 > t: 418 ms, ángulo: 14.94

11:38:18.236 > t: 419 ms, ángulo: 14.94

11:38:18.236 > t: 421 ms, ángulo: 14.85

11:38:18.236 > t: 422 ms, ángulo: 14.77

11:38:18.236 > t: 424 ms, ángulo: 14.77

11:38:18.246 > t: 425 ms, ángulo: 14.68

11:38:18.246 > t: 427 ms, ángulo: 14.59

11:38:18.252 > t: 428 ms, ángulo: 14.50

11:38:18.252 > t: 440 ms, ángulo: 13.89

11:38:18.252 > t: 442 ms, ángulo: 13.80

11:38:18.252 > t: 443 ms, ángulo: 13.80

11:38:18.252 > t: 444 ms, ángulo: 13.71

11:38:18.252 > t: 446 ms, ángulo: 13.62

11:38:18.252 > t: 447 ms, ángulo: 13.54

11:38:18.267 > t: 449 ms, ángulo: 13.45

11:38:18.267 > t: 450 ms, ángulo: 13.36

11:38:18.267 > t: 452 ms, ángulo: 13.27

11:38:18.267 > t: 453 ms, ángulo: 13.18

11:38:18.267 > t: 455 ms, ángulo: 13.10

11:38:18.267 > t: 467 ms, ángulo: 12.39

11:38:18.280 > t: 468 ms, ángulo: 12.30

11:38:18.284 > t: 469 ms, ángulo: 12.30

11:38:18.284 > t: 471 ms, ángulo: 12.22

11:38:18.284 > t: 472 ms, ángulo: 12.13

11:38:18.284 > t: 474 ms, ángulo: 11.95

11:38:18.284 > t: 475 ms, ángulo: 11.95

11:38:18.294 > t: 477 ms, ángulo: 11.87

11:38:18.294 > t: 478 ms, ángulo: 11.78

11:38:18.299 > t: 480 ms, ángulo: 11.69

11:38:18.299 > t: 481 ms, ángulo: 11.60

11:38:18.299 > t: 483 ms, ángulo: 11.51

11:38:18.299 > t: 494 ms, ángulo: 10.81

11:38:18.299 > t: 496 ms, ángulo: 10.72

11:38:18.299 > t: 497 ms, ángulo: 10.63

11:38:18.299 > t: 499 ms, ángulo: 10.55

11:38:18.315 > t: 500 ms, ángulo: 10.46

11:38:18.315 > t: 502 ms, ángulo: 10.37

11:38:18.315 > t: 503 ms, ángulo: 10.28

11:38:18.315 > t: 505 ms, ángulo: 10.20

11:38:18.315 > t: 506 ms, ángulo: 10.11

11:38:18.315 > t: 508 ms, ángulo: 10.02

11:38:18.331 > t: 509 ms, ángulo: 9.93

11:38:18.331 > t: 511 ms, ángulo: 9.84

11:38:18.331 > t: 522 ms, ángulo: 9.23

11:38:18.331 > t: 524 ms, ángulo: 9.14

11:38:18.331 > t: 525 ms, ángulo: 9.05

11:38:18.341 > t: 527 ms, ángulo: 8.96

11:38:18.341 > t: 528 ms, ángulo: 8.88

11:38:18.346 > t: 530 ms, ángulo: 8.79

11:38:18.346 > t: 531 ms, ángulo: 8.70

11:38:18.346 > t: 533 ms, ángulo: 8.61

11:38:18.346 > t: 534 ms, ángulo: 8.61

11:38:18.346 > t: 536 ms, ángulo: 8.53

11:38:18.346 > t: 537 ms, ángulo: 8.44

11:38:18.346 > t: 539 ms, ángulo: 8.35

11:38:18.362 > t: 540 ms, ángulo: 8.26

11:38:18.362 > t: 552 ms, ángulo: 7.73

11:38:18.362 > t: 553 ms, ángulo: 7.65

11:38:18.362 > t: 555 ms, ángulo: 7.56

11:38:18.362 > t: 556 ms, ángulo: 7.47

11:38:18.362 > t: 558 ms, ángulo: 7.47

11:38:18.362 > t: 559 ms, ángulo: 7.38

11:38:18.378 > t: 561 ms, ángulo: 7.38

11:38:18.380 > t: 562 ms, ángulo: 7.29

11:38:18.380 > t: 564 ms, ángulo: 7.21

11:38:18.380 > t: 565 ms, ángulo: 7.12

11:38:18.380 > t: 567 ms, ángulo: 7.03

11:38:18.380 > t: 568 ms, ángulo: 7.03

11:38:18.380 > t: 570 ms, ángulo: 6.94

11:38:18.394 > t: 581 ms, ángulo: 6.59

11:38:18.394 > t: 583 ms, ángulo: 6.50

11:38:18.394 > t: 584 ms, ángulo: 6.42

11:38:18.394 > t: 586 ms, ángulo: 6.42

11:38:18.394 > t: 587 ms, ángulo: 6.33

11:38:18.404 > t: 589 ms, ángulo: 6.33

11:38:18.404 > t: 590 ms, ángulo: 6.24

11:38:18.409 > t: 592 ms, ángulo: 6.24

11:38:18.409 > t: 593 ms, ángulo: 6.24

11:38:18.409 > t: 595 ms, ángulo: 6.15

11:38:18.409 > t: 596 ms, ángulo: 6.15

11:38:18.409 > t: 598 ms, ángulo: 6.06

11:38:18.409 > t: 599 ms, ángulo: 6.06

11:38:18.409 > t: 611 ms, ángulo: 5.80

11:38:18.425 > t: 612 ms, ángulo: 5.71

11:38:18.425 > t: 614 ms, ángulo: 5.71

11:38:18.430 > t: 615 ms, ángulo: 5.71

11:38:18.430 > t: 617 ms, ángulo: 5.71

11:38:18.430 > t: 618 ms, ángulo: 5.71

11:38:18.430 > t: 620 ms, ángulo: 5.62

11:38:18.430 > t: 621 ms, ángulo: 5.62

11:38:18.441 > t: 623 ms, ángulo: 5.62

11:38:18.441 > t: 624 ms, ángulo: 5.54

11:38:18.441 > t: 626 ms, ángulo: 5.54

11:38:18.441 > t: 627 ms, ángulo: 5.54

11:38:18.449 > t: 629 ms, ángulo: 5.54

11:38:18.452 > t: 640 ms, ángulo: 5.45

11:38:18.452 > t: 642 ms, ángulo: 5.45

11:38:18.452 > t: 643 ms, ángulo: 5.45

11:38:18.452 > t: 645 ms, ángulo: 5.45

11:38:18.452 > t: 646 ms, ángulo: 5.45

11:38:18.452 > t: 648 ms, ángulo: 5.45

11:38:18.465 > t: 649 ms, ángulo: 5.45

11:38:18.465 > t: 651 ms, ángulo: 5.45

11:38:18.465 > t: 652 ms, ángulo: 5.45

11:38:18.465 > t: 654 ms, ángulo: 5.45

11:38:18.465 > t: 655 ms, ángulo: 5.45

11:38:18.465 > t: 657 ms, ángulo: 5.45

11:38:18.481 > t: 658 ms, ángulo: 5.54

11:38:18.481 > t: 670 ms, ángulo: 5.62

11:38:18.481 > t: 671 ms, ángulo: 5.62

11:38:18.481 > t: 673 ms, ángulo: 5.71

11:38:18.481 > t: 674 ms, ángulo: 5.71

11:38:18.491 > t: 676 ms, ángulo: 5.71

11:38:18.491 > t: 677 ms, ángulo: 5.71

11:38:18.491 > t: 679 ms, ángulo: 5.71

11:38:18.497 > t: 680 ms, ángulo: 5.80

11:38:18.497 > t: 682 ms, ángulo: 5.80

11:38:18.497 > t: 683 ms, ángulo: 5.80

11:38:18.497 > t: 685 ms, ángulo: 5.89

11:38:18.497 > t: 686 ms, ángulo: 5.89

11:38:18.497 > t: 687 ms, ángulo: 5.89

11:38:18.512 > t: 699 ms, ángulo: 6.15

11:38:18.512 > t: 701 ms, ángulo: 6.24

11:38:18.512 > t: 702 ms, ángulo: 6.24

11:38:18.512 > t: 704 ms, ángulo: 6.24

11:38:18.512 > t: 705 ms, ángulo: 6.33

11:38:18.512 > t: 707 ms, ángulo: 6.33

11:38:18.512 > t: 708 ms, ángulo: 6.42

11:38:18.528 > t: 709 ms, ángulo: 6.42

11:38:18.530 > t: 711 ms, ángulo: 6.50

11:38:18.530 > t: 712 ms, ángulo: 6.50

11:38:18.530 > t: 714 ms, ángulo: 6.59

11:38:18.530 > t: 715 ms, ángulo: 6.68

11:38:18.530 > t: 717 ms, ángulo: 6.68

11:38:18.530 > t: 729 ms, ángulo: 7.03

11:38:18.530 > t: 730 ms, ángulo: 7.12

11:38:18.544 > t: 732 ms, ángulo: 7.21

11:38:18.544 > t: 733 ms, ángulo: 7.21

11:38:18.544 > t: 734 ms, ángulo: 7.29

11:38:18.544 > t: 736 ms, ángulo: 7.29

11:38:18.554 > t: 737 ms, ángulo: 7.38

11:38:18.554 > t: 739 ms, ángulo: 7.38

11:38:18.560 > t: 740 ms, ángulo: 7.47

