13:14:55.712 > Dispositivo iniciado, puedes conectarlo a Bluetooth
13:15:01.647 > t: 5513 ms, ángulo: 30.15
13:15:01.647 > t: 5516 ms, ángulo: 30.15
13:15:01.663 > t: 5520 ms, ángulo: 30.15
13:15:01.664 > t: 5523 ms, ángulo: 30.15
13:15:01.664 > t: 5527 ms, ángulo: 30.15
13:15:01.664 > t: 5530 ms, ángulo: 30.15
13:15:01.664 > t: 5534 ms, ángulo: 31.11
13:15:01.681 > t: 5537 ms, ángulo: 31.20
13:15:01.681 > t: 5541 ms, ángulo: 31.29
13:15:01.681 > t: 5544 ms, ángulo: 31.38
13:15:01.681 > t: 5548 ms, ángulo: 31.38
13:15:01.695 > t: 5551 ms, ángulo: 31.46
13:15:01.697 > t: 5555 ms, ángulo: 31.46
13:15:01.697 > t: 5558 ms, ángulo: 31.55
13:15:01.697 > t: 5562 ms, ángulo: 31.55
13:15:01.706 > t: 5565 ms, ángulo: 31.55
13:15:01.712 > t: 5569 ms, ángulo: 31.55
13:15:01.713 > t: 5572 ms, ángulo: 31.55
13:15:01.713 > t: 5576 ms, ángulo: 31.55
13:15:01.713 > t: 5579 ms, ángulo: 31.55
13:15:01.713 > t: 5583 ms, ángulo: 31.46
13:15:01.729 > t: 5586 ms, ángulo: 31.46
13:15:01.731 > t: 5590 ms, ángulo: 31.46
13:15:01.731 > t: 5593 ms, ángulo: 31.38
13:15:01.731 > t: 5597 ms, ángulo: 31.29
13:15:01.731 > t: 5600 ms, ángulo: 31.29
13:15:01.747 > t: 5604 ms, ángulo: 31.20
13:15:01.747 > t: 5607 ms, ángulo: 31.11
13:15:01.747 > t: 5611 ms, ángulo: 31.03
13:15:01.755 > t: 5614 ms, ángulo: 31.03
13:15:01.755 > t: 5618 ms, ángulo: 30.85
13:15:01.763 > t: 5621 ms, ángulo: 30.76
13:15:01.763 > t: 5625 ms, ángulo: 30.67
13:15:01.763 > t: 5628 ms, ángulo: 30.59
13:15:01.763 > t: 5632 ms, ángulo: 30.50
13:15:01.778 > t: 5635 ms, ángulo: 30.32
13:15:01.780 > t: 5639 ms, ángulo: 30.23
13:15:01.780 > t: 5642 ms, ángulo: 30.23
13:15:01.780 > t: 5646 ms, ángulo: 30.23
13:15:01.780 > t: 5649 ms, ángulo: 30.23
13:15:01.795 > t: 5653 ms, ángulo: 30.23
13:15:01.797 > t: 5656 ms, ángulo: 30.23
13:15:01.797 > t: 5660 ms, ángulo: 30.23
13:15:01.805 > t: 5663 ms, ángulo: 30.23
13:15:01.805 > t: 5667 ms, ángulo: 29.18
13:15:01.813 > t: 5670 ms, ángulo: 29.09
13:15:01.813 > t: 5674 ms, ángulo: 28.92
13:15:01.813 > t: 5677 ms, ángulo: 28.74
13:15:01.813 > t: 5681 ms, ángulo: 28.56
13:15:01.813 > t: 5684 ms, ángulo: 28.39
13:15:01.831 > t: 5688 ms, ángulo: 28.30
13:15:01.831 > t: 5691 ms, ángulo: 28.12
13:15:01.831 > t: 5695 ms, ángulo: 27.86
13:15:01.831 > t: 5698 ms, ángulo: 27.77
13:15:01.845 > t: 5702 ms, ángulo: 27.60
13:15:01.847 > t: 5705 ms, ángulo: 27.42
13:15:01.847 > t: 5709 ms, ángulo: 27.25
13:15:01.847 > t: 5713 ms, ángulo: 27.07
13:15:01.856 > t: 5716 ms, ángulo: 26.89
13:15:01.864 > t: 5720 ms, ángulo: 26.72
13:15:01.864 > t: 5723 ms, ángulo: 26.54
13:15:01.864 > t: 5727 ms, ángulo: 26.37
13:15:01.864 > t: 5730 ms, ángulo: 26.19
13:15:01.864 > t: 5734 ms, ángulo: 26.02
13:15:01.879 > t: 5737 ms, ángulo: 25.84
13:15:01.880 > t: 5741 ms, ángulo: 25.75
13:15:01.880 > t: 5744 ms, ángulo: 25.58
13:15:01.890 > t: 5748 ms, ángulo: 25.40
13:15:01.890 > t: 5751 ms, ángulo: 25.22
13:15:01.897 > t: 5755 ms, ángulo: 25.05
13:15:01.897 > t: 5758 ms, ángulo: 24.87
13:15:01.897 > t: 5762 ms, ángulo: 24.79
13:15:01.897 > t: 5765 ms, ángulo: 24.61
13:15:01.913 > t: 5769 ms, ángulo: 24.43
13:15:01.913 > t: 5772 ms, ángulo: 24.26
13:15:01.913 > t: 5776 ms, ángulo: 24.17
13:15:01.913 > t: 5779 ms, ángulo: 24.08
13:15:01.913 > t: 5783 ms, ángulo: 23.91
13:15:01.931 > t: 5786 ms, ángulo: 23.73
13:15:01.931 > t: 5790 ms, ángulo: 23.64
13:15:01.931 > t: 5793 ms, ángulo: 23.55
13:15:01.931 > t: 5797 ms, ángulo: 23.38
13:15:01.931 > t: 5800 ms, ángulo: 23.29
13:15:01.946 > t: 5804 ms, ángulo: 23.20
13:15:01.947 > t: 5807 ms, ángulo: 23.03
13:15:01.947 > t: 5811 ms, ángulo: 22.94
13:15:01.955 > t: 5814 ms, ángulo: 22.85
13:15:01.955 > t: 5818 ms, ángulo: 22.76
13:15:01.963 > t: 5821 ms, ángulo: 22.68
13:15:01.963 > t: 5825 ms, ángulo: 22.59
13:15:01.963 > t: 5828 ms, ángulo: 22.50
13:15:01.963 > t: 5832 ms, ángulo: 22.41
13:15:01.978 > t: 5835 ms, ángulo: 22.32
13:15:01.981 > t: 5839 ms, ángulo: 22.32
13:15:01.981 > t: 5842 ms, ángulo: 22.24
13:15:01.981 > t: 5846 ms, ángulo: 22.24
13:15:01.981 > t: 5849 ms, ángulo: 22.15
13:15:01.995 > t: 5853 ms, ángulo: 22.15
13:15:01.997 > t: 5856 ms, ángulo: 22.06
13:15:01.997 > t: 5860 ms, ángulo: 22.06
13:15:02.006 > t: 5863 ms, ángulo: 21.97
13:15:02.006 > t: 5867 ms, ángulo: 21.97
13:15:02.013 > t: 5870 ms, ángulo: 21.97
13:15:02.013 > t: 5874 ms, ángulo: 21.97
13:15:02.013 > t: 5877 ms, ángulo: 21.97
13:15:02.013 > t: 5881 ms, ángulo: 21.97
13:15:02.013 > t: 5884 ms, ángulo: 21.97
13:15:02.031 > t: 5888 ms, ángulo: 21.97
13:15:02.031 > t: 5891 ms, ángulo: 21.97
13:15:02.031 > t: 5895 ms, ángulo: 21.97
13:15:02.041 > t: 5898 ms, ángulo: 22.06
13:15:02.041 > t: 5902 ms, ángulo: 22.06
13:15:02.047 > t: 5905 ms, ángulo: 22.06
13:15:02.047 > t: 5909 ms, ángulo: 22.15
13:15:02.047 > t: 5912 ms, ángulo: 22.24
13:15:02.047 > t: 5916 ms, ángulo: 22.24
13:15:02.063 > t: 5919 ms, ángulo: 22.32
13:15:02.064 > t: 5923 ms, ángulo: 22.32
13:15:02.064 > t: 5926 ms, ángulo: 22.41
13:15:02.064 > t: 5930 ms, ángulo: 22.50
13:15:02.064 > t: 5933 ms, ángulo: 22.59
13:15:02.080 > t: 5937 ms, ángulo: 22.68
13:15:02.080 > t: 5940 ms, ángulo: 22.68
13:15:02.080 > t: 5944 ms, ángulo: 22.76
13:15:02.090 > t: 5948 ms, ángulo: 22.85
13:15:02.090 > t: 5951 ms, ángulo: 22.94
13:15:02.097 > t: 5955 ms, ángulo: 23.03
13:15:02.097 > t: 5958 ms, ángulo: 23.20
13:15:02.097 > t: 5962 ms, ángulo: 23.29
13:15:02.097 > t: 5965 ms, ángulo: 23.38
13:15:02.112 > t: 5969 ms, ángulo: 23.47
13:15:02.114 > t: 5972 ms, ángulo: 23.64
13:15:02.114 > t: 5976 ms, ángulo: 23.73
13:15:02.114 > t: 5979 ms, ángulo: 23.82
13:15:02.114 > t: 5983 ms, ángulo: 23.91
13:15:02.129 > t: 5986 ms, ángulo: 24.08
13:15:02.133 > t: 5990 ms, ángulo: 24.17
13:15:02.133 > t: 5993 ms, ángulo: 24.26
13:15:02.133 > t: 5997 ms, ángulo: 24.43
13:15:02.143 > t: 6000 ms, ángulo: 24.52
13:15:02.146 > t: 6004 ms, ángulo: 24.70
13:15:02.147 > t: 6007 ms, ángulo: 24.79
13:15:02.147 > t: 6011 ms, ángulo: 24.87
13:15:02.147 > t: 6014 ms, ángulo: 25.05
13:15:02.147 > t: 6018 ms, ángulo: 25.22
13:15:02.163 > t: 6021 ms, ángulo: 25.31
13:15:02.163 > t: 6025 ms, ángulo: 25.40
13:15:02.163 > t: 6028 ms, ángulo: 25.58
13:15:02.163 > t: 6032 ms, ángulo: 25.66
13:15:02.163 > t: 6035 ms, ángulo: 25.84
13:15:02.180 > t: 6039 ms, ángulo: 25.93
13:15:02.180 > t: 6042 ms, ángulo: 26.10
13:15:02.180 > t: 6046 ms, ángulo: 26.19
13:15:02.180 > t: 6049 ms, ángulo: 26.37
13:15:02.196 > t: 6053 ms, ángulo: 26.46
13:15:02.197 > t: 6056 ms, ángulo: 26.54
13:15:02.197 > t: 6060 ms, ángulo: 26.72
13:15:02.205 > t: 6063 ms, ángulo: 26.81
13:15:02.205 > t: 6067 ms, ángulo: 26.98
13:15:02.213 > t: 6070 ms, ángulo: 27.07
13:15:02.213 > t: 6074 ms, ángulo: 27.25
13:15:02.213 > t: 6077 ms, ángulo: 27.33
13:15:02.213 > t: 6081 ms, ángulo: 27.42
13:15:02.213 > t: 6084 ms, ángulo: 27.60
13:15:02.231 > t: 6088 ms, ángulo: 27.69
13:15:02.231 > t: 6091 ms, ángulo: 27.77
13:15:02.231 > t: 6095 ms, ángulo: 27.86
13:15:02.231 > t: 6098 ms, ángulo: 27.95
13:15:02.231 > t: 6102 ms, ángulo: 28.12
13:15:02.247 > t: 6105 ms, ángulo: 28.21
13:15:02.247 > t: 6109 ms, ángulo: 28.30
13:15:02.255 > t: 6112 ms, ángulo: 28.39
13:15:02.255 > t: 6116 ms, ángulo: 28.48
13:15:02.262 > t: 6119 ms, ángulo: 28.56
13:15:02.263 > t: 6123 ms, ángulo: 28.65
13:15:02.263 > t: 6126 ms, ángulo: 28.74
13:15:02.263 > t: 6130 ms, ángulo: 28.83
13:15:02.263 > t: 6133 ms, ángulo: 28.92
13:15:02.279 > t: 6137 ms, ángulo: 29.00
13:15:02.280 > t: 6140 ms, ángulo: 29.00
13:15:02.280 > t: 6144 ms, ángulo: 29.09
13:15:02.280 > t: 6147 ms, ángulo: 29.18
13:15:02.280 > t: 6151 ms, ángulo: 29.18
13:15:02.297 > t: 6154 ms, ángulo: 29.27
13:15:02.297 > t: 6158 ms, ángulo: 29.36
13:15:02.297 > t: 6161 ms, ángulo: 29.36
13:15:02.305 > t: 6165 ms, ángulo: 29.44
13:15:02.312 > t: 6168 ms, ángulo: 29.44
13:15:02.314 > t: 6172 ms, ángulo: 29.53
13:15:02.314 > t: 6175 ms, ángulo: 29.53
13:15:02.314 > t: 6179 ms, ángulo: 29.53
13:15:02.314 > t: 6182 ms, ángulo: 29.62
13:15:02.329 > t: 6186 ms, ángulo: 29.62
13:15:02.331 > t: 6189 ms, ángulo: 29.62
13:15:02.331 > t: 6193 ms, ángulo: 29.62
13:15:02.331 > t: 6196 ms, ángulo: 29.62
13:15:02.341 > t: 6200 ms, ángulo: 29.62
13:15:02.347 > t: 6203 ms, ángulo: 29.62
13:15:02.347 > t: 6207 ms, ángulo: 29.62
13:15:02.347 > t: 6210 ms, ángulo: 29.62
13:15:02.347 > t: 6214 ms, ángulo: 29.62
13:15:02.347 > t: 6217 ms, ángulo: 29.62
13:15:02.364 > t: 6221 ms, ángulo: 29.53
13:15:02.364 > t: 6224 ms, ángulo: 29.53
13:15:02.364 > t: 6228 ms, ángulo: 29.53
13:15:02.364 > t: 6231 ms, ángulo: 29.53
13:15:02.364 > t: 6235 ms, ángulo: 29.44
13:15:02.380 > t: 6238 ms, ángulo: 29.44
13:15:02.380 > t: 6242 ms, ángulo: 29.36
13:15:02.380 > t: 6245 ms, ángulo: 29.36
13:15:02.390 > t: 6249 ms, ángulo: 29.27
13:15:02.395 > t: 6252 ms, ángulo: 29.27
13:15:02.397 > t: 6256 ms, ángulo: 29.18
13:15:02.397 > t: 6259 ms, ángulo: 29.09
13:15:02.397 > t: 6263 ms, ángulo: 29.09
13:15:02.397 > t: 6266 ms, ángulo: 29.00
13:15:02.413 > t: 6270 ms, ángulo: 28.92
13:15:02.413 > t: 6273 ms, ángulo: 28.92
13:15:02.413 > t: 6277 ms, ángulo: 28.83
13:15:02.413 > t: 6280 ms, ángulo: 28.74
13:15:02.413 > t: 6284 ms, ángulo: 28.65
13:15:02.431 > t: 6287 ms, ángulo: 28.56
13:15:02.431 > t: 6291 ms, ángulo: 28.48
13:15:02.431 > t: 6294 ms, ángulo: 28.39
13:15:02.431 > t: 6298 ms, ángulo: 28.39
13:15:02.431 > t: 6301 ms, ángulo: 28.30
13:15:02.447 > t: 6305 ms, ángulo: 28.12
13:15:02.447 > t: 6308 ms, ángulo: 28.04
13:15:02.447 > t: 6312 ms, ángulo: 27.95
13:15:02.456 > t: 6315 ms, ángulo: 27.86
13:15:02.456 > t: 6319 ms, ángulo: 27.86
13:15:02.464 > t: 6322 ms, ángulo: 27.77
13:15:02.464 > t: 6326 ms, ángulo: 27.60
13:15:02.464 > t: 6329 ms, ángulo: 27.51
13:15:02.464 > t: 6333 ms, ángulo: 27.42
13:15:02.479 > t: 6336 ms, ángulo: 27.33
13:15:02.480 > t: 6340 ms, ángulo: 27.25
13:15:02.480 > t: 6343 ms, ángulo: 27.16
13:15:02.480 > t: 6347 ms, ángulo: 27.07
13:15:02.480 > t: 6350 ms, ángulo: 26.98
13:15:02.496 > t: 6354 ms, ángulo: 26.89
13:15:02.497 > t: 6357 ms, ángulo: 26.81
13:15:02.497 > t: 6361 ms, ángulo: 26.72
13:15:02.506 > t: 6364 ms, ángulo: 26.63
13:15:02.506 > t: 6368 ms, ángulo: 26.54
13:15:02.513 > t: 6371 ms, ángulo: 26.46
13:15:02.513 > t: 6375 ms, ángulo: 26.37
13:15:02.513 > t: 6378 ms, ángulo: 26.28
13:15:02.513 > t: 6382 ms, ángulo: 26.19
13:15:02.528 > t: 6385 ms, ángulo: 26.10
13:15:02.530 > t: 6389 ms, ángulo: 26.02
13:15:02.530 > t: 6392 ms, ángulo: 25.93
13:15:02.530 > t: 6396 ms, ángulo: 25.84
13:15:02.530 > t: 6399 ms, ángulo: 25.75
13:15:02.545 > t: 6403 ms, ángulo: 25.66
13:15:02.547 > t: 6406 ms, ángulo: 25.58
13:15:02.547 > t: 6410 ms, ángulo: 25.49
13:15:02.555 > t: 6413 ms, ángulo: 25.40
13:15:02.555 > t: 6417 ms, ángulo: 25.40
13:15:02.563 > t: 6420 ms, ángulo: 25.31
13:15:02.563 > t: 6424 ms, ángulo: 25.22
13:15:02.563 > t: 6427 ms, ángulo: 25.22
13:15:02.563 > t: 6431 ms, ángulo: 25.14
13:15:02.563 > t: 6434 ms, ángulo: 25.05
13:15:02.580 > t: 6438 ms, ángulo: 24.96
13:15:02.580 > t: 6441 ms, ángulo: 24.96
13:15:02.580 > t: 6445 ms, ángulo: 24.87
13:15:02.590 > t: 6448 ms, ángulo: 24.79
13:15:02.590 > t: 6452 ms, ángulo: 24.79
13:15:02.597 > t: 6455 ms, ángulo: 24.79
13:15:02.597 > t: 6459 ms, ángulo: 24.70
13:15:02.597 > t: 6462 ms, ángulo: 24.70
13:15:02.597 > t: 6466 ms, ángulo: 24.61
13:15:02.613 > t: 6469 ms, ángulo: 24.61
13:15:02.613 > t: 6473 ms, ángulo: 24.61
13:15:02.613 > t: 6476 ms, ángulo: 24.52
13:15:02.613 > t: 6480 ms, ángulo: 24.52
13:15:02.613 > t: 6483 ms, ángulo: 24.52
13:15:02.630 > t: 6487 ms, ángulo: 24.52
